date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:46:08	115/115	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20Feb%202023%2020:25:22%20GMT	https://www.cryptogods.life/robots.txt		(from )
09:46:08	169711/169711	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2007:46:05%20GMT	https://www.cryptogods.life/	M:/Copier%20download/CG/Crypto/www.cryptogods.life/index.html	(from )
09:46:09	3431/3431	---M--	200	added ('OK')	image/png	etag:%22c8ab15dc1de1d50fbd33d6718877e479%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/sites/2147592479/images/oA5pWs0GSAy6CWRQu6rk_Group_634.png?v=2	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/sites/2147592479/images/oA5pWs0GSAy6CWRQu6rk_Group_6345e1f.png	(from https://www.cryptogods.life/)
09:46:09	1379/1379	---MCZ	200	added ('OK')	text/css	etag:W/%22daa2604f88b2c10c3bcbb1631efed46d%22	https://kajabi-app-assets.kajabi-cdn.com/assets/core-39d7ec8c864adbae305102afb66be7486f2dfa14daf2042501bc27b46117fc72.css	M:/Copier%20download/CG/Crypto/kajabi-app-assets.kajabi-cdn.com/assets/core-39d7ec8c864adbae305102afb66be7486f2dfa14daf2042501bc27b46117fc72.css	(from https://www.cryptogods.life/)
09:46:09	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22c4af24ce595437830af0a401897698b2%22	https://use.fontawesome.com/releases/v5.15.2/css/all.css	M:/Copier%20download/CG/Crypto/use.fontawesome.com/releases/v5.15.2/css/all.css	(from https://www.cryptogods.life/)
09:46:09	133928/133928	---MCZ	200	added ('OK')	text/css	etag:W/%224e10d22d4d6c814712bb0c41a001ed85%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/assets/styles.css?1675061915926671	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/assets/stylesfbfc.css	(from https://www.cryptogods.life/)
09:46:10	20/20	---M--	200	added ('OK')	text/css	etag:%2285ae09107408e6e0b8216c411caf7d77%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/assets/overrides.css?1675061915926671	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/assets/overridesfbfc.css	(from https://www.cryptogods.life/)
09:46:10	5488/5488	---M--	200	added ('OK')	image/png	etag:%2263079034f10cfe89eac50e1d14950731%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/7RjFHboRWyNaedZWRGyg_logo_2.png	M:/Copier%20download/CG/Crypto/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2151160110/settings_images/7RjFHboRWyNaedZWRGyg_logo_2.png	(from https://www.cryptogods.life/)
09:46:11	52494/52494	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2007:46:08%20GMT	https://www.cryptogods.life/apply	M:/Copier%20download/CG/Crypto/www.cryptogods.life/apply.html	(from https://www.cryptogods.life/)
09:46:11	44107/44107	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2007:46:08%20GMT	https://www.cryptogods.life/contact	M:/Copier%20download/CG/Crypto/www.cryptogods.life/contact.html	(from https://www.cryptogods.life/)
09:46:11	20464/20464	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2007:46:09%20GMT	https://www.cryptogods.life/login	M:/Copier%20download/CG/Crypto/www.cryptogods.life/login.html	(from https://www.cryptogods.life/)
